cats,types,,,,,,,
OPP_SEX,Derived ,,,,,,,
HH_ND,Derived ,,,,,,,
HH_NR,Derived ,,,,,,,
HH_NI,Derived ,,,,,,,
H_AFDLN3P,Derived ,,,,,,,
H_F1,Derived ,,,,,,,
H_M1,Derived ,,,,,,,
H_MFDLN3P,Derived ,,,,,,,
VPP_08,Derived ,,,,,,,
VPP_12,Derived ,,,,,,,
VPR_08,Derived ,,,,,,,
VPR_10,Derived ,,,,,,,
VPR_12,Derived ,,,,,,,
VG_04,Derived ,,,,,,,
VG_06,Derived ,,,,,,,
VG_08,Derived ,,,,,,,
VG_10,Derived ,,,,,,,
VG_12,Derived ,,,,,,,
PP_PELIG,Derived ,,,,,,,
PR_PELIG,Derived ,,,,,,,
AP_PELIG,Derived ,,,,,,,
G_PELIG,Derived ,,,,,,,
E_PELIG,Derived ,,,,,,,
NL5G,Derived ,,,,,,,
NL3PR,Derived ,,,,,,,
NL5AP,Derived ,,,,,,,
NL2PP,Derived ,,,,,,,
REG_DAYS,Derived ,,,,,,,
MED_AGE,Census,,,,,,,
NH_WHITE,Census,,,,,,,
NH_AA,Census,,,,,,,
NH_ASIAN,Census,,,,,,,
NH_MULT,Census,,,,,,,
HISP,Census,,,,,,,
COMM_LT10,Census,,,,,,,
COMM_609P,Census,,,,,,,
MED_HH_INC,Census,,,,,,,
COMM_CAR,Census,,,,,,,
COMM_CP,Census,,,,,,,
COMM_PT,Census,,,,,,,
COMM_WALK,Census,,,,,,,
KIDS,Census,,,,,,,
ED_4COL,Census,,,,,,,
AGE,Voterfile,,,,,,,
GENDER_F,Voterfile,,,,,,,
GENDER_M,Voterfile,,,,,,,
PARTY_D,Voterfile,,,,,,,
PARTY_I,Voterfile,,,,,,,
PARTY_R,Voterfile,,,,,,,
